name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
we can't be friends (wait for your love),Ariana Grande,0.0657,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,0.645,228639,0.663,51ZQ1vr10ffzbwIjDCwqm4,3.18e-05,5,0.0751,-8.305,1,0.0447,115.83,4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,audio_features,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,0.287
End of Beginning,Djo,0.0351,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,0.689,159246,0.454,3qhlB30KknSejmIvZZLjOD,0.00259,2,0.0707,-7.643,1,0.0584,159.982,4,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,audio_features,spotify:track:3qhlB30KknSejmIvZZLjOD,0.912
Beautiful Things,Benson Boone,0.151,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,0.472,180304,0.471,6tNQ70jh4OwmPGpYy6R2o9,0.0,10,0.14,-5.692,1,0.0603,105.029,3,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,audio_features,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,0.219
Like That,Future,0.00709,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,0.814,267707,0.676,2tudvzsrR56uom6smgOcSf,1.28e-05,11,0.119,-4.67,0,0.231,162.012,4,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,audio_features,spotify:track:2tudvzsrR56uom6smgOcSf,0.312
i like the way you kiss me,Artemas,0.000938,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,0.599,142515,0.946,2GxrNKugF82CnoRFbQfzPf,0.0106,11,0.0826,-4.263,1,0.0447,151.647,4,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.747
CARNIVAL,¥$,0.189,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,0.594,264324,0.811,3w0w2T288dec0mgeZZqoNN,0.0,1,0.339,-5.746,1,0.159,148.144,4,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,audio_features,spotify:track:3w0w2T288dec0mgeZZqoNN,0.311
Too Sweet,Hozier,0.0295,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,0.741,251424,0.62,4IadxL6BUymXlh8RCJJu7T,0.000809,10,0.0398,-5.505,1,0.0412,117.038,4,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,audio_features,spotify:track:4IadxL6BUymXlh8RCJJu7T,0.934
greedy,Tate McRae,0.256,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,0.75,131872,0.733,3rUGC1vUpkDG9CZFHMur1t,0.0,6,0.114,-3.18,0,0.0319,111.018,1,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,audio_features,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.844
Lose Control,Teddy Swims,0.199,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,0.561,210689,0.604,17phhZDn6oGtzMe56NuWvj,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,0.242
Gata Only,FloyyMenor,0.446,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,0.791,222000,0.499,6XjDF6nds4DE2BBbagZol6,2.41e-05,8,0.0899,-8.472,0,0.0509,99.986,4,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,audio_features,spotify:track:6XjDF6nds4DE2BBbagZol6,0.669
